ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
>26,0,0.0,Reykjavíkurkjördæmi suður,Breiðholtsskóli,Reykjavíkurborg,0000
0-5,157,0.25363489499192243,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
6-10,258,0.4168012924071082,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
11-15,140,0.22617124394184168,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
16-20,18,0.029079159935379646,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
21-25,17,0.027463651050080775,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
>26,29,0.046849757673667204,Reykjavíkurkjördæmi norður,Dalskóli,Reykjavíkurborg,0000
0-5,105,0.0995260663507109,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
6-10,289,0.2739336492890995,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
11-15,158,0.14976303317535544,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
16-20,21,0.01990521327014218,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
21-25,18,0.017061611374407582,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
>26,464,0.43981042654028435,Norðausturkjördæmi,Dalvíkurskóli,Dalvíkurbyggð,6400
0-5,12,0.009167303284950344,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
6-10,256,0.19556913674560733,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
11-15,545,0.4163483575248281,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
16-20,195,0.1489686783804431,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
21-25,24,0.01833460656990069,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
>26,277,0.21161191749427044,Norðvesturkjördæmi,Fjölbrautaskóli Norðurlands vestra,Sveitarfélagið Skagafjörður,5200
0-5,189,0.03735177865612648,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
6-10,742,0.1466403162055336,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
11-15,781,0.15434782608695652,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
16-20,718,0.14189723320158104,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
21-25,334,0.06600790513833991,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
>26,2296,0.45375494071146244,Suðurkjördæmi,Fjölbrautaskóli Suðurnesja,Reykjanesbær,2000
0-5,235,0.11820925553319919,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
6-10,576,0.289738430583501,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
11-15,470,0.23641851106639838,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
16-20,448,0.22535211267605634,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
21-25,101,0.05080482897384306,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
>26,158,0.079476861167002,Reykjavíkurkjördæmi norður,Foldaskóli,Reykjavíkurborg,0000
0-5,316,0.4606413994169096,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
6-10,347,0.5058309037900874,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
11-15,23,0.033527696793002916,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
16-20,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Frostaskjól,Reykjavíkurborg,0000
0-5,198,0.4024390243902439,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
6-10,171,0.3475609756097561,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
11-15,20,0.04065040650406504,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
16-20,17,0.034552845528455285,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
21-25,21,0.042682926829268296,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
>26,65,0.13211382113821138,Norðvesturkjördæmi,Félagsheimili Bolungarvíkur,Bolungarvíkurkaupstaður,4100
0-5,60,0.058195926285160036,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
6-10,67,0.06498545101842872,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
11-15,75,0.07274490785645005,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
16-20,69,0.06692531522793405,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
21-25,64,0.06207565470417071,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
>26,696,0.6750727449078564,Suðurkjördæmi,Félagsheimili Hrunamanna,Hrunamannahreppur,8710
0-5,64,0.13417190775681342,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
6-10,110,0.23060796645702306,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
11-15,42,0.0880503144654088,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
16-20,74,0.15513626834381553,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
21-25,72,0.1509433962264151,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
>26,115,0.24109014675052412,Norðvesturkjördæmi,Félagsheimili Patreksfjarðar,Vesturbyggð,4607
0-5,1,0.00558659217877095,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
6-10,2,0.0111731843575419,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
11-15,1,0.00558659217877095,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
16-20,0,0.0,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
21-25,0,0.0,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
>26,175,0.9776536312849162,Norðvesturkjördæmi,Félagsheimilið Breiðablik,Eyja- og Miklaholtshreppur,3713
0-5,5,0.0071633237822349575,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
6-10,6,0.008595988538681949,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
11-15,6,0.008595988538681949,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
16-20,30,0.04297994269340974,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
21-25,4,0.0057306590257879654,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
>26,647,0.9269340974212035,Norðvesturkjördæmi,Félagsheimilið Brúarási,Borgarbyggð,3609
0-5,0,0.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
6-10,0,0.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
11-15,0,0.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
16-20,0,0.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
21-25,0,0.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
>26,2663,1.0,Norðvesturkjördæmi,Félagsheimilið Fellsborg,Sveitarfélagið Skagaströnd,5200
0-5,4,0.009615384615384616,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
6-10,3,0.007211538461538462,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
11-15,2,0.004807692307692308,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
16-20,2,0.004807692307692308,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
21-25,4,0.009615384615384616,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
>26,401,0.9639423076923077,Suðurkjördæmi,Félagsheimilið Heimaland,Rangárþing eystra,8613
0-5,137,0.12638376383763839,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
6-10,154,0.14206642066420663,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
11-15,28,0.025830258302583026,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
16-20,13,0.011992619926199263,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
21-25,4,0.0036900369003690036,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
>26,748,0.6900369003690037,Norðvesturkjördæmi,Félagsheimilið Hvammstanga,Húnaþing vestra,5508
0-5,48,0.031270358306188926,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
6-10,179,0.11661237785016286,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
11-15,149,0.09706840390879479,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
16-20,129,0.08403908794788274,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
21-25,13,0.008469055374592834,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
>26,1017,0.6625407166123779,Suðurkjördæmi,Félagsheimilið Hvoll,Rangárþing eystra,8613
0-5,93,0.31313131313131315,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
6-10,35,0.11784511784511785,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
11-15,7,0.02356902356902357,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
16-20,3,0.010101010101010102,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
21-25,3,0.010101010101010102,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
>26,156,0.5252525252525253,Norðvesturkjördæmi,Félagsheimilið Höfðaborg,Sveitarfélagið Skagafjörður,5200
0-5,1,0.007042253521126761,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
6-10,4,0.028169014084507043,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
11-15,2,0.014084507042253521,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
16-20,2,0.014084507042253521,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
21-25,2,0.014084507042253521,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
>26,131,0.9225352112676056,Norðvesturkjördæmi,Félagsheimilið Lindartungu,Borgarbyggð,3609
0-5,1,0.0026666666666666666,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
6-10,2,0.005333333333333333,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
11-15,4,0.010666666666666666,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
16-20,2,0.005333333333333333,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
21-25,2,0.005333333333333333,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
>26,364,0.9706666666666667,Norðvesturkjördæmi,Félagsheimilið Lyngbrekku,Borgarbyggð,3609
0-5,31,0.4246575342465753,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
6-10,29,0.3972602739726027,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
11-15,0,0.0,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
16-20,9,0.1232876712328767,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
21-25,1,0.0136986301369863,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
>26,3,0.0410958904109589,Norðausturkjördæmi,Félagsheimilið Múli,Akureyrarbær,6000
0-5,4,0.08,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
6-10,1,0.02,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
11-15,1,0.02,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
16-20,1,0.02,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
21-25,0,0.0,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
>26,43,0.86,Norðvesturkjördæmi,Félagsheimilið Skagasel,Sveitarfélagið Skagafjörður,5200
0-5,4,0.024844720496894408,Norðvesturkjördæmi,Félagsheimilið Skjöldur,Helgafellssveit,3710
