ferdatimi,fjoldi,hlutfall,kjordaemi,kjorstadur,sveitarfelag,svfnr
6-10,371,0.30016181229773464,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
11-15,191,0.15453074433656958,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
16-20,217,0.1755663430420712,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
21-25,64,0.05177993527508091,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
>26,135,0.10922330097087378,Suðurkjördæmi,Grunnskóli Grindavíkur,Grindavíkurbær,2300
0-5,79,0.5602836879432624,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
6-10,37,0.2624113475177305,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
11-15,7,0.04964539007092199,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
16-20,1,0.0070921985815602835,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
21-25,2,0.014184397163120567,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
>26,15,0.10638297872340426,Norðausturkjördæmi,Grunnskóli Stöðvarfjarðar,Fjarðabyggð,7300
0-5,336,0.20314389359129384,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
6-10,703,0.42503022974607013,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
11-15,305,0.18440145102781136,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
16-20,176,0.10640870616686819,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
21-25,102,0.06166868198307134,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
>26,32,0.019347037484885126,Suðurkjördæmi,Grunnskóli Vestmannaeyja,Vestmannaeyjabær,8000
0-5,126,0.47191011235955055,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
6-10,52,0.1947565543071161,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
11-15,4,0.0149812734082397,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
16-20,1,0.003745318352059925,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
21-25,1,0.003745318352059925,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
>26,83,0.31086142322097376,Norðvesturkjördæmi,Grunnskóli Önundarfjarðar,Ísafjarðarbær,4200
0-5,2,0.009523809523809525,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
6-10,16,0.0761904761904762,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
11-15,33,0.15714285714285714,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
16-20,3,0.014285714285714285,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
21-25,1,0.004761904761904762,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
>26,155,0.7380952380952381,Norðvesturkjördæmi,Grunnskólinn að Hólum,Sveitarfélagið Skagafjörður,5200
0-5,20,0.028409090909090908,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
6-10,15,0.02130681818181818,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
11-15,3,0.004261363636363636,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
16-20,3,0.004261363636363636,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
21-25,3,0.004261363636363636,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
>26,660,0.9375,Norðvesturkjördæmi,Grunnskólinn að Kleppjárnsreykjum,Borgarbyggð,3609
0-5,51,0.136,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
6-10,15,0.04,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
11-15,1,0.0026666666666666666,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
16-20,0,0.0,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
21-25,1,0.0026666666666666666,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
>26,307,0.8186666666666667,Norðausturkjördæmi,Grunnskólinn á Bakkafirði,Langanesbyggð,6709
0-5,56,0.17337461300309598,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
6-10,112,0.34674922600619196,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
11-15,23,0.07120743034055728,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
16-20,11,0.034055727554179564,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
21-25,2,0.006191950464396285,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
>26,119,0.3684210526315789,Norðvesturkjördæmi,Grunnskólinn á Hellissandi,Snæfellsbær,3714
0-5,78,0.027263194687172317,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
6-10,176,0.06151695211464523,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
11-15,188,0.06571128975882559,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
16-20,57,0.019923103809856693,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
21-25,26,0.009087731562390773,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
>26,2336,0.8164977280671094,Suðurkjördæmi,Grunnskólinn á Hellu,Rangárþing ytra,8614
0-5,7,0.01971830985915493,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
6-10,1,0.0028169014084507044,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
11-15,1,0.0028169014084507044,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
16-20,0,0.0,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
21-25,3,0.008450704225352112,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
>26,343,0.9661971830985916,Norðvesturkjördæmi,Grunnskólinn á Lýsuhóli,Snæfellsbær,3714
0-5,106,0.18181818181818182,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
6-10,114,0.1955403087478559,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
11-15,50,0.08576329331046312,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
16-20,31,0.05317324185248713,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
21-25,16,0.0274442538593482,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
>26,266,0.4562607204116638,Suðurkjördæmi,Grunnskólinn á Stokkseyri,Sveitarfélagið Árborg,8200
0-5,116,0.6270270270270271,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
6-10,32,0.17297297297297298,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
11-15,1,0.005405405405405406,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
16-20,0,0.0,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
21-25,0,0.0,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
>26,36,0.1945945945945946,Norðvesturkjördæmi,Grunnskólinn á Suðureyri,Ísafjarðarbær,4200
0-5,60,0.15544041450777202,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
6-10,101,0.2616580310880829,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
11-15,6,0.015544041450777202,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
16-20,0,0.0,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
21-25,0,0.0,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
>26,219,0.5673575129533679,Norðvesturkjördæmi,Grunnskólinn á Þingeyri,Ísafjarðarbær,4200
0-5,114,0.08236994219653179,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
6-10,403,0.2911849710982659,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
11-15,435,0.3143063583815029,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
16-20,217,0.15679190751445088,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
21-25,125,0.09031791907514451,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
>26,90,0.06502890173410404,Suðurkjördæmi,Grunnskólinn í Hveragerði,Hveragerðisbær,8716
0-5,84,0.12518628912071536,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
6-10,367,0.5469448584202683,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
11-15,122,0.18181818181818182,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
16-20,32,0.04769001490312966,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
21-25,27,0.040238450074515646,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
>26,39,0.05812220566318927,Norðvesturkjördæmi,Grunnskólinn í Stykkishólmi,Stykkishólmsbær,3711
0-5,96,0.1935483870967742,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
6-10,177,0.35685483870967744,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
11-15,129,0.2600806451612903,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
16-20,16,0.03225806451612903,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
21-25,4,0.008064516129032258,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
>26,74,0.14919354838709678,Norðvesturkjördæmi,Grunnskólinn í Ólafsvík,Snæfellsbær,3714
0-5,109,0.11449579831932773,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
6-10,400,0.42016806722689076,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
11-15,109,0.11449579831932773,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
16-20,126,0.1323529411764706,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
21-25,142,0.14915966386554622,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
>26,66,0.06932773109243698,Reykjavíkurkjördæmi suður,Hagaskóli,Reykjavíkurborg,0000
0-5,137,0.20087976539589442,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
6-10,277,0.40615835777126097,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
11-15,196,0.2873900293255132,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
16-20,26,0.03812316715542522,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
21-25,14,0.020527859237536656,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
>26,32,0.0469208211143695,Suðurkjördæmi,Heppuskóli,Sveitarfélagið Hornafjörður,8401
0-5,1,0.010526315789473684,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
6-10,0,0.0,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
11-15,2,0.021052631578947368,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
16-20,2,0.021052631578947368,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
21-25,1,0.010526315789473684,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
>26,89,0.9368421052631579,Norðvesturkjördæmi,Heydalur,Súðavíkurhreppur,4803
0-5,155,0.21262002743484226,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
6-10,345,0.4732510288065844,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
11-15,132,0.18106995884773663,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
16-20,73,0.10013717421124829,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
21-25,24,0.03292181069958848,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi suður,Hlíðaskóli,Reykjavíkurborg,0000
0-5,78,0.17647058823529413,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
6-10,41,0.09276018099547512,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
11-15,44,0.09954751131221719,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
16-20,42,0.09502262443438914,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
21-25,1,0.0022624434389140274,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
>26,236,0.5339366515837104,Norðvesturkjördæmi,Hnyðja,Strandabyggð,4911
0-5,1,0.006622516556291391,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
6-10,17,0.11258278145695365,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
11-15,15,0.09933774834437085,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
16-20,3,0.019867549668874173,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
21-25,0,0.0,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
>26,115,0.7615894039735099,Suðurkjördæmi,Hofgarður,Sveitarfélagið Hornafjörður,8401
0-5,3,0.045454545454545456,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
6-10,7,0.10606060606060606,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
11-15,0,0.0,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
16-20,0,0.0,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
21-25,4,0.06060606060606061,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
>26,52,0.7878787878787878,Suðurkjördæmi,Holt,Sveitarfélagið Hornafjörður,8401
0-5,43,0.053217821782178217,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
6-10,60,0.07425742574257425,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
11-15,22,0.027227722772277228,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
16-20,3,0.0037128712871287127,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
21-25,11,0.013613861386138614,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
>26,669,0.8279702970297029,Norðausturkjördæmi,Hrafnagilsskóli,Eyjafjarðarsveit,6513
0-5,59,0.3390804597701149,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
6-10,35,0.20114942528735633,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
11-15,4,0.022988505747126436,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
16-20,2,0.011494252873563218,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
21-25,1,0.005747126436781609,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
>26,73,0.41954022988505746,Norðausturkjördæmi,Hreppsstofa,Múlaþing,7400
0-5,2,0.024691358024691357,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
6-10,5,0.06172839506172839,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
11-15,3,0.037037037037037035,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
16-20,3,0.037037037037037035,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
21-25,3,0.037037037037037035,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
>26,65,0.8024691358024691,Suðurkjördæmi,Hrollaugsstaðir,Sveitarfélagið Hornafjörður,8401
0-5,93,0.5568862275449101,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
6-10,47,0.281437125748503,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
11-15,7,0.041916167664670656,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
16-20,4,0.023952095808383235,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
21-25,6,0.03592814371257485,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
>26,10,0.059880239520958084,Norðausturkjördæmi,Hríseyjarskóli,Akureyrarbær,6000
0-5,5,0.00546448087431694,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
6-10,6,0.006557377049180328,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
11-15,42,0.04590163934426229,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
16-20,28,0.030601092896174863,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
21-25,57,0.06229508196721312,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
>26,777,0.8491803278688524,Norðvesturkjördæmi,Hvammur,Skorradalshreppur,3506
0-5,6,0.03468208092485549,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
6-10,0,0.0,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
11-15,5,0.028901734104046242,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
16-20,7,0.04046242774566474,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
21-25,0,0.0,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
>26,155,0.8959537572254336,Norðvesturkjördæmi,Héðinsminni,Akrahreppur,5706
0-5,107,0.3905109489051095,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
6-10,124,0.45255474452554745,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
11-15,43,0.15693430656934307,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
16-20,0,0.0,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi norður,Höfðatorg,Reykjavíkurborg,0000
0-5,4,0.010075566750629723,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
6-10,8,0.020151133501259445,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
11-15,3,0.007556675062972292,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
16-20,0,0.0,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
21-25,0,0.0,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
>26,382,0.9622166246851386,Norðvesturkjördæmi,Húnavallaskóli,Húnavatnshreppur,5612
0-5,169,0.20993788819875778,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
6-10,340,0.422360248447205,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
11-15,150,0.18633540372670807,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
16-20,14,0.017391304347826087,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
21-25,10,0.012422360248447204,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
>26,122,0.1515527950310559,Reykjavíkurkjördæmi norður og suður,Ingunnarskóli,Reykjavíkurborg,0000
0-5,3,0.016129032258064516,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
6-10,5,0.026881720430107527,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
11-15,4,0.021505376344086023,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
16-20,5,0.026881720430107527,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
21-25,5,0.026881720430107527,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
>26,164,0.8817204301075269,Norðvesturkjördæmi,Ketilás,Sveitarfélagið Skagafjörður,5200
0-5,38,0.05397727272727273,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
6-10,19,0.026988636363636364,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
11-15,39,0.05539772727272727,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
16-20,6,0.008522727272727272,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
21-25,13,0.018465909090909092,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
>26,589,0.8366477272727273,Suðurkjördæmi,Kirkjubæjarskóli,Skaftárhreppur,8509
0-5,222,0.29403973509933773,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
6-10,453,0.6,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
11-15,80,0.10596026490066225,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
16-20,0,0.0,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
21-25,0,0.0,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi norður,Kjarvalsstaðir,Reykjavíkurborg,0000
0-5,9,0.01559792027729636,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
6-10,95,0.16464471403812825,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
11-15,76,0.1317157712305026,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
16-20,7,0.012131715771230503,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
21-25,24,0.0415944540727903,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
>26,366,0.634315424610052,Reykjavíkurkjördæmi norður,Klébergsskóli,Reykjavíkurborg,0000
0-5,47,0.025529603476371537,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
6-10,331,0.17979359043997828,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
11-15,480,0.26072786529060293,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
16-20,331,0.17979359043997828,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
21-25,343,0.18631178707224336,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
>26,309,0.16784356328082564,Suðvesturkjördæmi,Kórinn,Kópavogsbær,1000
0-5,230,0.20408163265306123,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
6-10,422,0.3744454303460515,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
11-15,299,0.2653061224489796,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
16-20,170,0.15084294587400177,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
21-25,6,0.005323868677905945,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
>26,0,0.0,Reykjavíkurkjördæmi norður,Laugalækjarskóli,Reykjavíkurborg,0000
0-5,1,0.0008382229673093043,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
6-10,2,0.0016764459346186086,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
11-15,1,0.0008382229673093043,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
16-20,3,0.002514668901927913,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
21-25,3,0.002514668901927913,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
>26,1183,0.991617770326907,Norðausturkjördæmi,Ljósvetningabúð,Þingeyjarsveit,6612
0-5,208,0.052313883299798795,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
6-10,444,0.11167002012072434,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
11-15,353,0.08878269617706237,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
16-20,254,0.06388329979879276,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
21-25,117,0.02942655935613682,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
>26,2600,0.6539235412474849,Suðvesturkjördæmi,Lágafellsskóli,Mosfellsbær,1604
0-5,183,0.050468836183121896,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
6-10,808,0.2228350799779371,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
11-15,823,0.22697186982901268,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
16-20,581,0.16023166023166024,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
21-25,625,0.17236624379481522,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
>26,606,0.16712630998345285,Suðvesturkjördæmi,Lækjarskóli,Hafnarfjarðarkaupstaður,1400
0-5,118,0.06614349775784753,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
6-10,203,0.11378923766816143,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
11-15,98,0.05493273542600897,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
16-20,30,0.016816143497757848,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
21-25,145,0.0812780269058296,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
>26,1190,0.6670403587443946,Norðvesturkjördæmi,Menntaskóli Borgarfjarðar,Borgarbyggð,3609
0-5,255,0.19675925925925927,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
6-10,447,0.3449074074074074,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
11-15,322,0.24845679012345678,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
16-20,212,0.16358024691358025,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
21-25,40,0.030864197530864196,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
>26,20,0.015432098765432098,Reykjavíkurkjördæmi norður,Menntaskólinn við Sund,Reykjavíkurborg,0000
0-5,77,0.03768967205090553,Norðausturkjördæmi,Menntaskólinn á Egilsstöðum,Múlaþing,7400
